201710;001;00;0000;SS  ;000  ;000;17790;C  ;SFAMREG Holding Course        ;L  ;M  ;0050;0000;0050;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0000                                                                      
201710;001;AA;UGST;UNIV;101L3;010;15317;F  ;Introduction to the University;L  ;M1 ;0021;0000;0021;09/07/2016;12/20/2016;11:00 am;12:15 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;011;15318;F  ;Introduction to the University;L  ;M1 ;0020;0002;0018;09/07/2016;12/20/2016;12:30 pm;01:45 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0006;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;012;15319;F  ;Introduction to the University;L  ;M1 ;0020;0001;0019;09/07/2016;12/20/2016;09:30 am;10:45 am; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0003;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;013;15321;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;05:00 pm;06:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;014;15322;F  ;Introduction to the University;L  ;M1 ;0020;0002;0018;09/07/2016;12/20/2016;03:30 pm;04:45 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0006;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;015;15334;F  ;Introduction to the University;L  ;M1 ;0020;0001;0019;09/07/2016;12/20/2016;03:30 pm;04:45 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0003;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;016;15337;F  ;Introduction to the University;L  ;M1 ;0020;0013;0007;09/07/2016;12/20/2016;12:30 pm;01:45 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0039;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;017;15339;F  ;Introduction to the University;L  ;M1 ;0020;0013;0007;09/07/2016;12/20/2016;12:30 pm;01:45 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0039;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;018;15340;F  ;Introduction to the University;L  ;M1 ;0020;0004;0016;09/07/2016;12/20/2016;12:30 pm;01:45 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0012;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;019;15341;F  ;Introduction to the University;L  ;M1 ;0020;0002;0018;09/07/2016;12/20/2016;02:00 pm;03:15 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0006;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;020;15342;F  ;Introduction to the University;L  ;M1 ;0020;0001;0019;09/07/2016;12/20/2016;03:30 pm;04:45 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0003;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;021;15343;F  ;Introduction to the University;L  ;M1 ;0020;0016;0004;09/07/2016;12/20/2016;03:30 pm;04:45 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0048;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;022;15344;F  ;Introduction to the University;L  ;M1 ;0020;0009;0011;09/07/2016;12/20/2016;11:00 am;12:15 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0027;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;023;15345;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;11:00 am;12:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;024;15346;F  ;Introduction to the University;L  ;M1 ;0021;0000;0021;09/07/2016;12/20/2016;02:00 pm;03:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;025;15347;F  ;Introduction to the University;L  ;M1 ;0020;0004;0016;09/07/2016;12/20/2016;12:30 pm;01:45 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0012;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;026;15348;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;05:00 pm;06:15 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;027;15349;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;028;15350;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;03:30 pm;04:45 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;029;15351;F  ;Introduction to the University;L  ;M1 ;0020;0002;0018;09/07/2016;12/20/2016;03:30 pm;04:45 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0006;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;030;15352;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;03:30 pm;04:45 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;031;15353;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;03:30 pm;04:45 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;032;15354;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;09:30 am;10:45 am; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;033;15355;F  ;Introduction to the University;L  ;M1 ;0020;0003;0017;09/07/2016;12/20/2016;09:30 am;10:45 am; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0009;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;034;15356;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;035;15357;F  ;Introduction to the University;L  ;M1 ;0020;0006;0014;09/07/2016;12/20/2016;02:00 pm;03:15 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0018;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;036;15358;F  ;Introduction to the University;L  ;M1 ;0021;0000;0021;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;037;15359;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;11:00 am;12:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;038;15360;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;039;15361;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;02:00 pm;03:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;040;15852;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;041;15876;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;04:00 pm;05:15 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;042;15877;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;04:00 pm;05:15 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;043;15878;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;04:00 pm;05:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;045;15883;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;12:30 pm;01:45 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;046;15953;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;05:00 pm;06:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;048;15954;F  ;Introduction to the University;L  ;M1 ;0020;0008;0012;09/07/2016;12/20/2016;03:30 pm;04:45 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0024;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;049;15955;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;08:00 am;09:15 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;050;15956;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;08:00 am;09:15 am; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;179L3;000;17324;F  ;Special Topics                ;L  ;M1 ;0020;0000;0020;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;179L3;001;17325;F  ;Special Topics                ;L  ;M1 ;0020;0000;0020;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;002;AA;UGST;UNIV;298  ;000;13354;A  ;Honors College Orientation    ;IST;M1 ;0005;0000;0005;09/07/2016;10/25/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0002                                                                      
201710;002;AA;UGST;UNIV;299  ;000;13355;A  ;Honors College Experience     ;IST;M1 ;0005;0000;0005;09/07/2016;10/25/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;002;AA;UGST;UNIV;299  ;001;13357;A  ;Honors College Experience     ;IST;M1 ;0005;0000;0005;09/07/2016;10/25/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;002;AA;UGST;UNIV;299  ;002;13358;A  ;Honors College Experience     ;IST;M1 ;0005;0000;0005;09/07/2016;10/25/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;002;AA;UGST;UNIV;299  ;003;13359;A  ;Honors College Experience     ;IST;M1 ;0005;0000;0005;09/07/2016;10/25/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;    ;ECA ;ECA  ;000;16186;A  ;Early College Alliance        ;L  ;WC1;0200;0000;0200;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0000                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13504;A  ;Intro to African Amer Studies ;L  ;M1 ;0030;0006;0024;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;PRAY-H;306       ;Ferreira,Ana Maria M     ;0018;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13505;A  ;Intro to African Amer Studies ;L  ;M1 ;0030;0005;0025;09/07/2016;12/20/2016;11:00 am;12:15 pm;M; ;W; ; ; ; ;PRAY-H;306       ;Peters,Melvin T          ;0015;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13506;A  ;Intro to African Amer Studies ;L  ;M1 ;0030;0006;0024;09/07/2016;12/20/2016;11:00 am;12:15 pm; ;T; ;R; ; ; ;      ;          ;Pressley-Sanon,Antoinette;0018;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13507;A  ;Intro to African Amer Studies ;L  ;M1 ;0030;0003;0027;09/07/2016;12/20/2016;12:30 pm;01:45 pm; ;T; ;R; ; ; ;PRAY-H;306       ;NOT ASSIGNED             ;0009;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13508;A  ;Intro to African Amer Studies ;L  ;M1 ;0030;0007;0023;09/07/2016;12/20/2016;02:00 pm;03:15 pm;M; ;W; ; ; ; ;PRAY-H;306       ;Peters,Melvin T          ;0021;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13805;A  ;Intro to African Amer Studies ;L  ;M1 ;0019;0002;0017;09/07/2016;12/20/2016;09:30 am;10:45 am; ;T; ;R; ; ; ;PRAY-H;306       ;Woods,Ronald C           ;0006;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;13806;A  ;Intro to African Amer Studies ;L  ;M1 ;0025;0000;0025;09/07/2016;12/20/2016;02:00 pm;03:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;14244;A  ;Intro to African Amer Studies ;ELE;M1 ;0025;0000;0025;09/07/2016;12/20/2016;12:30 pm;01:45 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;15430;A  ;Intro to African Amer Studies ;ELE;M1 ;0030;0004;0026;09/07/2016;12/20/2016;03:30 pm;04:45 pm;M; ;W; ; ; ; ;      ;          ;Ferreira,Ana Maria M     ;0012;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;15431;A  ;Intro to African Amer Studies ;ELE;M1 ;0020;0002;0018;09/07/2016;12/20/2016;03:30 pm;04:45 pm; ;T; ;R; ; ; ;PRAY-H;306       ;Pressley-Sanon,Antoinette;0006;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;001;16256;A  ;Intro to African Amer Studies ;DEO;WW1;0020;0009;0011;09/07/2016;12/20/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;ONLINE;          ;Okafor,Victor O          ;0027;0003                                                                      
201710;001;AS;AAAS;AFC ;102  ;000;13509;A  ;Intro to African Civilization ;L  ;M1 ;0036;0008;0028;09/07/2016;12/20/2016;12:30 pm;01:45 pm; ;T; ;R; ; ; ;      ;          ;Pieh,Patrick K           ;0024;0003                                                                      
201710;001;AS;AAAS;AFC ;102  ;000;13510;A  ;Intro to African Civilization ;L  ;M1 ;0025;0007;0018;09/07/2016;12/20/2016;12:30 pm;01:45 pm;M; ;W; ; ; ; ;      ;          ;Pieh,Patrick K           ;0021;0003                                                                      
201710;001;AS;AAAS;AFC ;201  ;000;13511;A  ;Found Knowl Afr Amer Studies  ;L  ;M1 ;0025;0010;0015;09/07/2016;12/20/2016;05:30 pm;08:20 pm; ; ;W; ; ; ; ;PRAY-H;306       ;Ferreira,Ana Maria M     ;0030;0003                                                                      
201710;001;AS;AAAS;AFC ;221  ;000;14074;A  ;Africn Amer Social Movement   ;L  ;M1 ;0025;0005;0020;09/07/2016;12/20/2016;12:30 pm;01:45 pm;M; ;W; ; ; ; ;PRAY-H;306       ;Peters,Melvin T          ;0015;0003                                                                      
201710;001;AS;AAAS;AFC ;231  ;000;13512;A  ;Race,Urbanztn&Policy Mindset  ;L  ;M1 ;0020;0001;0019;09/07/2016;12/20/2016;02:00 pm;03:15 pm; ;T; ;R; ; ; ;PRAY-H;306       ;Woods,Ronald C           ;0003;0003                                                                      
201710;001;AS;AAAS;AFC ;232  ;000;15432;A  ;Politics in African Amer Exper;L  ;M1 ;0025;0004;0021;09/07/2016;12/20/2016;11:00 am;12:15 pm; ;T; ;R; ; ; ;PRAY-H;306       ;Woods,Ronald C           ;0012;0003                                                                      
201710;001;AS;AAAS;AFC ;243  ;000;13513;A  ;Black Women: Politics & Racism;L  ;M1 ;0035;0004;0031;09/07/2016;12/20/2016;05:30 pm;08:10 pm; ;T; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0012;0003                                                                      
201710;001;AS;AAAS;AFC ;272  ;000;13514;A  ;Hip Hop Lyricism African Amer ;L  ;M1 ;0025;0008;0017;09/07/2016;12/20/2016;03:30 pm;04:45 pm;M; ;W; ; ; ; ;PRAY-H;306       ;Peters,Melvin T          ;0024;0003                                                                      
201710;001;AS;AAAS;AFC ;279  ;000;16187;A  ;Contemporary African Literatur;ELL;M1 ;0025;0000;0025;09/07/2016;12/20/2016;09:30 am;10:45 am; ;T; ;R; ; ; ;      ;          ;Pressley-Sanon,Antoinette;0000;0003                                                                      
201710;001;AS;AAAS;AFC ;279  ;000;16251;A  ;Caribbean Cultural Production ;ELE;M1 ;0025;0002;0023;09/07/2016;12/20/2016;12:30 pm;01:45 pm; ;T; ;R; ; ; ;      ;          ;Pressley-Sanon,Antoinette;0006;0003                                                                      
201710;001;AS;AAAS;AFC ;312  ;000;13515;A  ;African Civilization          ;L  ;M1 ;0036;0000;0036;09/07/2016;12/20/2016;12:30 pm;01:45 pm; ;T; ;R; ; ; ;      ;          ;Pieh,Patrick K           ;0000;0003                                                                      
201710;001;AS;AAAS;AFC ;313  ;000;16257;A  ;Contemporary Africa: Prospects;DEO;WW1;0020;0002;0018;09/07/2016;12/20/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;ONLINE;          ;Okafor,Victor O          ;0006;0003                                                                      
201710;001;AS;AAAS;AFC ;361  ;000;13516;A  ;The African American Family   ;L  ;M1 ;0025;0004;0021;09/07/2016;12/20/2016;02:00 pm;03:15 pm;M; ;W; ; ; ; ;      ;          ;Ferreira,Ana Maria M     ;0012;0003                                                                      
201710;001;AS;AAAS;AFC ;402L4;000;16260;A  ;African Amer Stud Intern Semin;DEO;WW1;0005;0000;0005;09/07/2016;12/20/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;ONLINE;          ;Okafor,Victor O          ;0000;0003                                                                      
201710;001;AS;AAAS;AFC ;501  ;000;13517;A  ;Found Issue African Amer Stud ;L  ;M5 ;0011;0000;0011;09/07/2016;12/20/2016;05:30 pm;08:20 pm; ; ;W; ; ; ; ;      ;          ;Ferreira,Ana Maria M     ;0000;0003                                                                      
201710;001;AS;AAAS;AFC ;505  ;000;16258;A  ;The African Political Economy ;DEO;WW5;0005;0000;0005;09/07/2016;12/20/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;ONLINE;          ;Okafor,Victor O          ;0000;0003                                                                      
201710;001;AS;AAAS;AFC ;543  ;000;13518;A  ;Civil Rights&Afri Amer Exper  ;L  ;M5 ;0015;0002;0013;09/07/2016;12/20/2016;05:30 pm;08:20 pm; ; ; ;R; ; ; ;PRAY-H;306       ;Woods,Ronald C           ;0006;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;001;12853;C  ;Visual Arts for Elem Teachers ;L  ;M1 ;0000;0000;0000;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;003;12852;A  ;Visual Arts for Elem Teachers ;L  ;M1 ;0025;0022;0003;09/07/2016;12/20/2016;09:00 am;10:50 am;M; ;W; ; ; ; ;FORD  ;210       ;NOT ASSIGNED             ;0066;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;004;16868;A  ;Visual Arts for Elem Teachers ;L  ;M1 ;0025;0011;0014;09/07/2016;12/20/2016;03:00 pm;04:50 pm;M; ;W; ; ; ; ;FORD  ;210       ;NOT ASSIGNED             ;0033;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;006;12834;H  ;Visual Arts for Elem Teachers ;ELL;M1 ;0020;0006;0014;09/07/2016;12/20/2016;11:00 am;12:50 pm;M; ;W; ; ; ; ;FORD  ;210       ;NOT ASSIGNED             ;0018;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;007;12993;A  ;Visual Arts for Elem Teachers ;L  ;M1 ;0025;0006;0019;09/07/2016;12/20/2016;09:00 am;12:40 pm; ; ; ; ;F; ; ;FORD  ;210       ;NOT ASSIGNED             ;0018;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;009;13583;C  ;Visual Arts for Elem Teachers ;L  ;M1 ;0000;0000;0000;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;010;16873;A  ;Visual Arts for Elem Teachers ;L  ;M1 ;0025;0017;0008;09/07/2016;12/20/2016;09:00 am;10:50 am; ;T; ;R; ; ; ;FORD  ;210       ;NOT ASSIGNED             ;0051;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;011;17048;A  ;Visual Arts for Elem Teachers ;DEO;WW1;0025;0012;0013;09/07/2016;12/20/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;ONLINE;          ;Yang,Guey-Meei           ;0036;0003                                                                      
201710;001;AS;ART ;ARTE;220  ;012;17049;A  ;Visual Arts for Elem Teachers ;DEO;WW1;0025;0007;0018;09/07/2016;12/20/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;ONLINE;          ;Yang,Guey-Meei           ;0021;0003                                                                      
201710;001;AS;ART ;ARTE;355  ;002;13584;C  ;Interprtg Art in Visual Art Ed;L  ;M1 ;0000;0000;0000;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AS;ART ;ARTE;357  ;002;14098;A  ;Intro to Visual Arts Education;L  ;M1 ;0015;0001;0014;09/07/2016;12/20/2016;03:00 pm;04:50 pm; ;T; ;R; ; ; ;FORD  ;210       ;McComb,Camilla L         ;0003;0003                                                                      
201710;001;AS;ART ;ARTE;360  ;002;13990;C  ;Technology in Visual Arts Educ;L  ;M1 ;0000;0000;0000;          ;          ;12:00 am;12:00 am; ; ; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AS;ART ;ARTE;360  ;003;17278;A  ;Technology in Visual Arts Educ;L  ;M1 ;0015;0008;0007;09/07/2016;12/20/2016;12:30 pm;02:20 pm; ;T; ;R; ; ; ;SHERZ ;201       ;Yang,Guey-Meei           ;0024;0003                                                                      
201710;001;AS;ART ;ARTE;460  ;001;13585;A  ;Approaches to Visual Arts Ed  ;HLL;M1 ;0015;0006;0009;09/07/2016;12/20/2016;05:30 pm;07:20 pm; ;T; ;R; ; ; ;FORD  ;210       ;McComb,Camilla L         ;0024;0004                                                                      
201710;001;AS;ART ;ARTE;559  ;000;17057;A  ;Teaching Art Multiple Perspect;ST ;WC5;0015;0003;0012;12/10/2016;12/10/2016;12:00 pm;04:00 pm; ; ; ; ; ;S; ;FORD  ;210       ;McComb,Camilla L         ;0009;0003                                                                      
201710;001;AS;ART ;ARTE;559  ;000;17057;A  ;Teaching Art Multiple Perspect;ST ;WC5;0015;0003;0012;10/08/2016;10/08/2016;12:00 pm;04:00 pm; ; ; ; ; ;S; ;FORD  ;210       ;McComb,Camilla L         ;0009;0003                                                                      
201710;001;AS;ART ;ARTE;559  ;000;17057;A  ;Teaching Art Multiple Perspect;ST ;WC5;0015;0003;0012;09/17/2016;09/17/2016;12:00 pm;04:00 pm; ; ; ; ; ;S; ;FORD  ;210       ;McComb,Camilla L         ;0009;0003                                                                      
201710;001;AS;ART ;ARTE;559  ;000;17057;A  ;Teaching Art Multiple Perspect;ST ;WC5;0015;0003;0012;09/07/2016;12/20/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;ONLINE;HYBRID    ;McComb,Camilla L         ;0009;0003                                                                      
201710;001;AS;ART ;ARTE;559  ;000;17057;A  ;Teaching Art Multiple Perspect;ST ;WC5;0015;0003;0012;10/15/2016;10/15/2016;12:00 pm;04:00 pm; ; ; ; ; ;S; ;FORD  ;210       ;McComb,Camilla L         ;0009;0003                                                                      
